SR,Drug Registration Number,Medicine Name,Strength,Unit of strength,Pharmaceutical form,Pack size,Active substance 1,Active substance 2,Active substance 3,Active substance 4,Retail Price,MAH name
1207,DRN-5250/00,Clofen,75,mg/3mL,Injection,5 Ampoules,Diclofenac Sodium,,,,2.650,"Gulf Pharmaceutical Industries (Julphar), UAE."
1208,DRN-5251/00.,Julmentin,375,mg,Tablets,20' ,Amoxicillin,Clavulanic Acid,,,2.800,"Gulf Pharmaceutical Industries (Julphar), UAE."
1209,DRN-5252/00,Julmentin Forte,625,mg,Tablets,20' ,Amoxicillin,Clavulanic Acid,,,5.300,"Gulf Pharmaceutical Industries (Julphar), UAE."
1210,DRN-5253/00,3V,,,Injection,3 x 3ml,Vit B1,Vit B12,Vit B6 ,,1.830,"Gulf Pharmaceutical Industries (Julphar), UAE."
1211,DRN-5255/00,Julmentin,156,mg/5mL,Suspension,100ml,Amoxicillin,Clavulanic Acid,,,1.630,"Gulf Pharmaceutical Industries (Julphar), UAE."
1212,DRN-5256/00,Julmentin Forte,312,mg/5mL,Suspension,100ml,Amoxicillin,Clavulanic Acid,,,3.060,"Gulf Pharmaceutical Industries (Julphar), UAE."
1213,DRN-5257/00,Mandelay,,,Gel,28.35g,Benzocaine,,,,3.050,"Majestic Drug Co. Inc, USA."
1214,DRN-5258/00,Colfed DM,,,Syrup,120ml,Dextromethorphan Hydrobromide,Pseudoephedrine HCl,Triprolidine HCl,,0.610,"The Arab Pharmaceutical Manufacturing Co. (APM), Jordan."
1215,DRN-5267/00,Nicorette Gum,2,mg,Chewable Tablets,30' ,Nicotine,,,,2.090,"McNeil AB, Sweden."
1216,DRN-5268/00,Nicorette Gum,4,mg,Chewable Tablets,30' ,Nicotine Resin,,,,2.730,"McNeil AB, Sweden."
1217,DRN-5269/00,Zaditen,1,mg,Tablets,30' ,Ketotifen Fumarate,,,,2.840,"Novartis Pharma AG, Switzerland."
1218,DRN-5271/00,Lioresal,10,mg,Tablets,50' ,Baclofen ,,,,5.520,"Novartis Pharma AG, Switzerland."
1219,DRN-5273/00,M-M-R I I Vaccine,0.5,mL,Powder and solvent foe suspension for  Injection,10 single doses 0.5ml vials,Measles Virus Vaccine,Mumps Vaccine (Live Attenuated),Rubella Vaccine,,47.260,"Merck Sharp & Dohme Corp, USA."
1220,DRN-5276/00,Nimbex,2,mg/mL,Injection,5 x 5ml Ampoule,Cisatracurium,,,,14.280,"The Wellcome Foundation Limited, UK."
1221,DRN-5287/00,Colpermin,187,mg,Capsules,20' ,Peppermint Oil,,,,2.730,"Tillotts Pharma AG, Switzerland."
1222,DRN-5293/00,Methergin,0.125,mg,Sugar Coated Tablets,30' ,Methylergometrine Maleate,,,,1.690,"Novartis Pharma AG, Switzerland."
1223,DRN-5306/00,BONDRONAT,2,MG/2ML,CONCENTRATE FOR SOLUTION FOR INFUSION,1' Vial 2ml,Ibandronic Acid,,,,49.530,"Roche Pharma (Schweiz) AG, Switzerland."
1224,DRN-5313/00,Relenza Rotadisk,5,mg,Rotadisk,20' ,Zanamivir,,,,8.320,"GlaxoSmithKline Pty Ltd, Australia."
1225,DRN-5324/00,One Alpha,0.5,mcg,Capsules,30' ,Alfacalcidol,,,,6.250,"LEO Pharma A/S, Denmark."
1226,DRN-5325/00,Rivotril,2.5,mg/mL,Drops,10ml,Clonazepam,,,,1.190,"F. Hoffmann La Roche Ltd, Switzerland."
1227,DRN-5326/00,Remicade,100,mg,Powder For Soln.For Infusion,1 Vial,Inflixmab,,,,221.000,"Janssen Biologics BV, The Netherlands."
1228,DRN-5330/00,Nisita Nasal Ointment,,,Ointment,25g,Sodium Bicarbonate,Sodium Chloride,,,1.210,"Karl Engelhard, Germany."
1229,DRN-5332/00,Ventolin Diskus,0.2,mg/Dose,Inhalation Powder,60 Doses,Salbutamol Sulfate,,,,2.570,"GlaxoWellcome UK Limited, UK."
1230,DRN-5333/00,Woodwards Gripe Water,0.046/1.050,% w/v,Oral Solution,150ml,Terpeneless Dill Seed Oil ,Sodium Hydrogen Carbonate ,,,0.820,"Reckitt Benckiser Healthcare (UK) Ltd, UK."
1231,DRN-5334/00,Mosegor,0.5,mg,Sugar Coated Tablets,30' ,Pizotifen Hydrogen Maleate,,,,1.740,"Novartis Pharma AG, Switzerland."
1232,DRN-5336/00,Adalat LA,30,mg,Retard Tablet,30' ,Nifedipine,,,,5.370,"Bayer AG, Germany."
1233,DRN-5337/00,Adalat LA,60,mg,Retard Tablet,30' ,Nifedipine,,,,6.770,"Bayer AG, Germany."
1234,DRN-5338/00,CYMEVENE 500,500,MG,POWDER FOR SOLUTION FOR INFUSION,10ml Vial,Ganciclovir Sodium,,,,25.230,"F. Hoffmann La Roche Ltd, Switzerland."
1235,DRN-5339/00,Tegretol CR,400,mg,Divitabs,30's,Carbamazepine,,,,4.640,"Novartis Pharma AG, Switzerland."
1236,DRN-5345/00,Aromasin,25,mg,Sugar Coated Tablets,30's,Exemestane,,,,64.090,"Pfizer Italia Srl, Italy."
1237,DRN-5349/00,Histan,2,mg/5mL,Syrup,100ml,Chlorpheniramine Maleate,,,,0.760,"Kuwait Saudi Pharmaceutical Industries Co. (KSPICO), Kuwait."
1238,DRN-535/91,Dolgit,600,mg,Tablets,500' ,Ibuprofen,,,,25.390,"Dolorgiet GmbH & Co. KG, Germany."
1239,DRN-5350/00,Fusix,40,mg,Tablets,20' ,Furosemide,,,,1.480,"Kuwait Saudi Pharmaceutical Industries Co. (KSPICO), Kuwait."
1240,DRN-5351/00,Tenol,100,mg,Tablets,20' ,Atenolol,,,,2.030,"Kuwait Saudi Pharmaceutical Industries Co. (KSPICO), Kuwait."
1241,DRN-5352/00,Metaphage,500,mg,Tablets,50' ,Metformin HCl ,,,,0.940,"Kuwait Saudi Pharmaceutical Industries Co. (KSPICO), Kuwait."
1242,DRN-5353/00,Panadrex,120,mg/5mL,Syrup,100ml,Paracetamol,,,,0.610,"Kuwait Saudi Pharmaceutical Industries Co. (KSPICO), Kuwait."
1243,DRN-5354/00,Suprazole,200,mg,Tablets,20' s,Metronidazole,,,,1.160,"Kuwait Saudi Pharmaceutical Industries Co. (KSPICO), Kuwait."
1244,DRN-5359/00,Losec Mups,20,mg,Tablets,14' ,Omeprazole,,,,8.980,"AstraZeneca AB, Sweden."
1245,DRN-5360/00,Aggrastat,0.25,mg/mL,Concentrate for solution for infusion,50ml Vial,Tirofiban Hydrochloride Monohydrate,,,,121.050,"Algorithm SAL, Lebanon."
1246,DRN-5363/00,Cutivate,0.05,% w/w,Cream,30g,Fluticasone Propionate,,,,1.230,"GlaxoWellcome UK Limited, UK."
1247,DRN-5364/00,Cutivate,0.005,% w/w,Ointment,30g,Fluticasone Propionate,,,,1.230,"GlaxoWellcome UK Limited, UK."
1248,DRN-5365/00,Zyrtec,10,mg,Film Coated Tablets,10' ,Cetirizine HCl,,,,1.940,"GlaxoSmithkline Export Limited, UK."
1249,DRN-5366/00,Zyrtec,10,mg,Film Coated Tablets,20' ,Cetirizine HCl,,,,3.840,"GlaxoSmithkline Export Limited, UK."
1250,DRN-5367/00,Zyrtec,1,mg/mL,Oral Solution,75ml,Cetirizine HCl,,,,1.720,"GlaxoSmithkline Export Limited, UK."
1251,DRN-5368/00,Zyrtec,10,mg/mL,Oral Drops,10ml,Cetirizine HCl,,,,2.150,"GlaxoSmithkline Export Limited, UK."
1252,DRN-5370/00,Sandimmun Neoral,100,mg/mL,Oral Solution,50ml,Ciclosporin,,,,90.630,"Novartis Pharma AG, Switzerland."
1253,DRN-5371/00,Voltaren,25,mg,Suppositories,10' ,Diclofenac Sodium,,,,0.980,"Novartis Pharma AG, Switzerland."
1254,DRN-5372/00,Voltaren,50,mg,Suppositories,5' ,Diclofenac Sodium,,,,0.980,Delpharm Huningue SAS/ France
1255,DRN-5373/00,Voltaren,100,mg,Suppositories,5' ,Diclofenac Sodium,,,,1.790,"Novartis Pharma AG, Switzerland."
1256,DRN-5377/00,Premosan,10,mg/2mL,Injection,5's,Metoclopramide HCl,,,,0.830,"Gulf Pharmaceutical Industries (Julphar), UAE."
1257,DRN-5383/00,Famodar Abr,10,mg,Film Coated Tablets,10' ,Famotidine,,,,1.350,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
1258,DRN-5384/00,Rofenac,12.5,mg,Suppositories,10' ,Diclofenac Sodium,,,,0.840,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1259,DRN-5387/00,Fevadol,200,mg,Suppositories,10's ,Paracetamol,,,,0.700,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1260,DRN-5388/00,Fevadol,350,mg,Suppositories,10' ,Paracetamol,,,,0.800,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1261,DRN-539/91,Cytotec,200,mg,Tablets,28' ,Misoprostol,,,,3.970,"Pfizer Limited, UK."
1262,DRN-5397/00,Recombivax HB,5,mcg,Suspension for Injection,1 Single Dose 0.5ml,"Hepatitis B Virus Antigen, Recombinant (HBsAg)",,,,3.550,"Merck Sharp & Dohme Corp, USA."
1263,DRN-5398/00,Recombivax HB,10,mcg,Suspension for Injection,1 Single Dose 1ml,"Hepatitis B Virus Antigen, Recombinant (HBsAg)",,,,4.900,"Merck Sharp & Dohme Corp, USA."
1264,DRN-5399/00,Klacid,500,mg,Powder for solution for IV infusion,Vial,Clarithromycin,,,,5.410,"Abbott France, France."
1265,DRN-5400/00,Omedar,20,mg,Enteric Coated Tablet,14,Omeprazole,,,,6.480,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
1266,DRN-5402/00,Tenol,50,mg,Film Coated Tablets,20' ,Atenolol,,,,1.290,"Kuwait Saudi Pharmaceutical Industries Co. (KSPICO), Kuwait."
1267,DRN-5404/00,Prospan Acute,,,Effervescent Tablets,20' ,Dried Ivy Leaf Extract,,,,2.340,"Engelhard Arzneimittel GmbH & Co.KG, Germany."
1268,DRN-5405/00,Lipostat,40,mg,Tablets,30' ,Pravastatin Sodium,,,,18.270,"Bristol-Myers Squibb Company, USA."
1269,DRN-5408/00,Dewax,,,Ear Drops,10ml,Docusate Sodium,,,,0.510,"Amman Pharmaceutical Industries, Jordan."
1270,DRN-5409/00,Phenicol,1,%,Eye Ointment,5g,Chloramphenicol,,,,0.590,"Amman Pharmaceutical Industries, Jordan."
1271,DRN-5417/00,Anxetin,20,mg,Capsules,20' ,Fluoxetine HCl,,,,7.630,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
1272,DRN-5419/00,RECORMON PFS,2000,IU/0.3ML,SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE,6,EPOETIN BETA,,,,73.640,"ROCHE PHARMA (SCHWEIZ) AG, SWITZERLAND."
1273,DRN-5420/00,RECORMON PFS,5000,IU/0.3ML,SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE,6,EPOETIN BETA,,,,184.090,"ROCHE PHARMA (SCHWEIZ) AG, SWITZERLAND."
1274,DRN-5421/00,RECORMON PFS,10000,IU/0.6ML,SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE,6,EPOETIN BETA,,,,368.190,"ROCHE PHARMA (SCHWEIZ) AG, SWITZERLAND."
1275,DRN-5422/00,Hyalgan,20,mg/2mL,Solution For Injection,1' Pre-Filled SyRinge OF 2ml,Hyaluronic Acid Sodium Salt,,,,19.850,"Fidia Farmaceutici SpA, Italy."
1276,DRN-5423/00,Ventol,2,mg/5mL,Syrup,120ml,Salbutamol Sulfate,,,,0.810,"Kuwait Saudi Pharmaceutical Industries Co. (KSPICO), Kuwait."
1277,DRN-5429/00,Supradyn,,,Soft Gelatin Capsules,30' ,"Multivitamins, Minerals",,,,2.430,"R.P. Scherer GmbH & Co KG, Germany."
1278,DRN-5430/00,Fortzaar,100/25,mg,Film Coated Tablets,30' ,Losartan Potassium,Hydrochlorothiazide ,,,8.600,"Merck Sharp & Dohme BV, The Netherlands."
1279,DRN-5433/00,Cephadar,250,mg,Capsules,20' ,Cephalexin Monohydrate,,,,2.690,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
1280,DRN-5434/00,Cephadar Forte,500,mg,Capsules,20' ,Cephalexin Monohydrate,,,,4.480,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
1281,DRN-5435/00,Doxydar,100,mg,Capsules,8' ,Doxycycline Hyclate,,,,1.460,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
1282,DRN-5436/01,Zocor,40,mg,Tablets,30' ,Simvastatin,,,,16.180,"Merck Sharp & Dohme BV, The Netherlands."
1283,DRN-5437/01,Dramylin - Pediatric,7/28.5/0.55,mg/5mL,Syrup,120ml,Diphenhydramine HCl,Sodium Citrate ,Menthol ,,0.580,"Kuwait Saudi Pharmaceutical Industries Co. (KSPICO), Kuwait."
1284,DRN-5438/01,Dramylin,13.5/131.5,mg/5mL,Syrup,120ml,Diphenhydramine HCl,Ammonium Chloride,,,0.720,"Kuwait Saudi Pharmaceutical Industries Co. (KSPICO), Kuwait."
1285,DRN-5439/01,Ezipect,4,mg/5mL,Syrup,100ml,Bromhexine HCl,,,,0.870,"Kuwait Saudi Pharmaceutical Industries Co. (KSPICO), Kuwait."
1286,DRN-5441/01,Survanta,25,mg/mL,Intratracheal Suspension,4ml single dose vial,Phospholipids,,,,90.480,"Abbvie Inc, USA."
1287,DRN-5442/01,Androcur,50,mg,Tablets,20' ,Cyproterone Acetate,,,,6.250,"Bayer Pharma AG, Germany."
1288,DRN-5447/01,Voltaren,12.5,mg,Suppositories,10' ,Diclofenac Sodium,,,,0.490,Delpharm Huningue SAS/ France
1289,DRN-5448/01,Tripofed,,,Syrup,100ml,Pseudoephedrine HCl,Triprolidine HCl,,,0.390,"Kuwait Saudi Pharmaceutical Industries Co. (KSPICO), Kuwait."
1290,DRN-5449/01,Aloxal,375/145,mg,Suspension,200ml,Aluminium Hydroxide,Magnesium Hydroxide,,,0.480,"Kuwait Saudi Pharmaceutical Industries Co. (KSPICO), Kuwait."
1291,DRN-5461/01,Lescol XL,80,mg,Film Coated Tablets,28' ,Fluvastatin,,,,12.750,"Novartis Pharma AG, Switzerland."
1292,DRN-5462/01,Avalox,400,mg,Film Coated Tablets,5' ,Moxifloxacin,,,,8.420,"Bayer Pharma AG, Germany."
1293,DRN-5463/01,Avalox,400,mg,Film Coated Tablets,7' ,Moxifloxacin,,,,11.090,"Bayer Pharma AG, Germany."
1294,DRN-5469/01,Remedol,500,mg,Tablets,20' ,Paracetamol,,,,0.250,Remedica Ltd/ Cyprus
1295,DRN-5470/01,Famopsin,40,mg,Film Coated Tablets,10' ,Famotidine,,,,1.630,"Remedica Ltd, Cyprus."
1296,DRN-5473/01,Rani-Nerton,150,mg,Film Coated Tablets,20' ,Ranitidine HCl,,,,0.760,"Dolorgiet GmbH & Co. KG, Germany."
1297,DRN-5477/01,Lipitor,10,mg,Film Coated Tablets,30' ,Atorvastatin Hemicalcium,,,,13.450,"Pfizer Pharma GmbH, Germany."
1298,DRN-5478/01,Lipitor,20,mg,Film Coated Tablets,30' ,Atorvastatin Hemicalcium,,,,21.550,"Pfizer Pharma GmbH, Germany."
1299,DRN-5494/01,Teveten,600,mg,Film Coated Tablets,28' ,Eprosartan,,,,10.800,"Abbott HealthCare Products BV, The Netherlands."
1300,DRN-550/91,Rubicalm,0.5/12/0.1,g/100g,Cream,30g,Chlorbutol,Diethylamine Salicylate,Menthol,,0.650,"Gulf Pharmaceutical Industries (Julphar), UAE."
1301,DRN-5501/01,Blopress,8,mg,Tablets,28' ,Candesartan Cilexetil,,,,5.570,"The Arab Pharmaceutical Manufacturing Co. (APM), Jordan."
1302,DRN-5503/01,Fosamax Once Weekly,70,mg,Tablets,4' ,Alendronate Sodium,,,,16.190,"Merck Sharp & Dohme BV, The Netherlands."
1303,DRN-5504/01,Yasmin,3/0.03,mg,Film Coated Tablets,21' ,Drospirenone ,Ethinylestradiol,,,2.770,"Bayer Pharma AG, Germany."
1304,DRN-5505/01,Flutab,,,Film Coated Tablets,20' ,Paracetamol,Diphenhydramine HCl ,Pseudoephedrine HCl,,0.880,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1305,DRN-5506/01,Ferose -F,100,mg,Tablets,30' ,Iron (as Iron III Polymaltose) 100 mg,Folic Acid ,,,2.050,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1306,DRN-5507/01,Cipromax,250,mg,Film Coated Tablets,10' ,Ciprofloxacin,,,,3.060,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1307,DRN-5508/01,Cipromax,500,mg,Film Coated Tablets,10' ,Ciprofloxacin,,,,6.070,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1308,DRN-5510/01,Sapofen,600,mg,Film Coated Tablets,30' ,Ibuprofen,,,,1.170,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1309,DRN-5516/01,Kaletra,80/20,mg/mL,Oral Solution,160ml,Lopinavir,Ritonavir,,,88.310,"Abbvie Inc, USA."
1310,DRN-5518/01,Moxiclav,156.25,mg/5mL,Powder for suspension ,100ml,Amoxicillin,Clavulanic Acid,,,1.470,"Medochemie Ltd, Cyprus."
1311,DRN-5519/01,Moxiclav,312.5,mg/5mL,Powder for suspension ,100ml,Amoxicillin,Clavulanic Acid,,,2.750,"Medochemie Ltd, Cyprus."
1312,DRN-5521/01,PHYSIOTENS,0.2,MG,FILM-COATED TABLET,28,MOXONIDINE,,,,4.430,"ABBOTT LABORATORIES GMBH, GERMANY."
1313,DRN-5525/01,PHYSIOTENS,0.4,MG,FILM-COATED TABLET,28,MOXONIDINE,,,,6.990,"ABBOTT LABORATORIES GMBH, GERMANY."
1314,DRN-5526/01,Physiotens,0.4,mg,Film Coated Tablets,98' ,Moxonidine,,,,25.170,"Abbott Products GmbH, Germany."
1315,DRN-5529/01,Tamiflu,75,mg,Capsules,10' ,Oseltamivir,,,,14.030,"Roche Pharma (Schweiz) AG, Switzerland."
1316,DRN-5530/01,Biocarbon,250,mg,Tablets,50' ,Activated Charcoal,,,,2.800,"F. Trenka Chemisch-Pharmazeutische Fabrik GmbH, Austria."
1317,DRN-5535/01,Tavanic,5,mg/mL,IV Solution For Infusion,100ml,Levofloxacin,,,,13.490,"Sanofi-Aventis Deutschland GmbH, Germany."
1318,DRN-5536/01,Tavanic,250,mg,Film Coated Tablets,5' ,Levofloxacin,,,,5.010,"Sanofi-Aventis Deutschland GmbH, Germany."
1319,DRN-5537/01,Tavanic,500,mg,Film Coated Tablets,5' ,Levofloxacin,,,,8.500,"Sanofi-Aventis Deutschland GmbH, Germany."
1320,DRN-5542/01,Atacand,8,mg,Tablets,28' ,Candesartan Cilexetil,,,,7.380,"AstraZeneca AB, Sweden."
1321,DRN-5543/01,Atacand,16,mg,Tablets,28' ,Candesartan Cilexetil,,,,9.010,"AstraZeneca AB, Sweden."
1322,DRN-5544/01,Domperidone,10,mg,Tablets,20' ,Domperidone,,,,0.690,"South Egypt Drug Industries Co. (SEDICO), Egypt."
1323,DRN-5545/01,Zometa,4,mg,Powder For Injection,1 Vial + 1 AmpoulesOLV,Zoledronic Acid ,,,,154.640,"Novartis Pharma AG, Switzerland."
1324,DRN-5546/01,Mirena Intrauterine System,52,mg,Genito Urinary System And Sex Hormones,1's,Levonorgestrel,,,,48.800,"Bayer Oy, Finland."
1325,DRN-5547/01,Xatral XL,10,mg,Prolonged-Release Tablets,30' ,Alfuzosin HCl,,,,14.360,"Sanofi-Aventis France, France."
1326,DRN-5548/01,Singulair Paediatric,4,mg,Chewable Tablets,28' ,Montelukast Sodium,,,,13.260,"Merck Sharp & Dohme Limited, UK."
1327,DRN-5549/01,Fludrex,120/0.75/15,mg,Syrup,120ml,Paracetamol,Chlorpheniramine Maleate,Pseudoephedrine HCl,,1.630,"Kuwait Saudi Pharmaceutical Industries Co. (KSPICO), Kuwait."
1328,DRN-5550/01,Derma-T,1,%,Topical Solution,30ml,Clindamycin,,,,1.630,"Tabuk Pharmaceutical Manufacturing Company, KSA."
1329,DRN-5551/01,Fludrex,400/3/32/30,mg,Tablets,24' ,Paracetamol,Chlorpheniramine Maleate,Caffeine,Pseudoephedrine HCl,1.310,"Kuwait Saudi Pharmaceutical Industries Co. (KSPICO), Kuwait."
1330,DRN-5555/01,Lidocaine HCl,1,%,Injection,20ml,Lidocaine HCl,,,,0.380,"Hospira Inc, USA."
1331,DRN-5556/01,Lidocaine HCl,1,%,Injection,50ml,Lidocaine HCl,,,,0.510,"Hospira Inc, USA."
1332,DRN-5558/01,Lidocaine HCl,2,%,Injection,50ml ,Lidocaine HCl,,,,0.560,"Hospira Inc, USA."
1333,DRN-5559/01,Lidocaine HCl With Epinephrine,1/1:100000,%,Injection,30ml Vial FTV,Lidocaine HCl,Epinephrine,,,0.810,"Hospira Inc, USA."
1334,DRN-5560/01,Lidocaine HCl With Epinephrine,1/1:100000,%,Injection,50ml Vial FTV,Lidocaine HCl,Epinephrine,,,0.890,"Hospira Inc, USA."
1335,DRN-5561/01,Lidocaine HCl With Epinephrine,2/1:100000,%,Injection,30ml Vial FTV,Lidocaine HCl,Epinephrine,,,1.710,"Hospira Inc, USA."
1336,DRN-5562/01,Lidocaine HCl With Epinephrine,2/1:100000,%,Injection,50ml FTV Vial,Lidocaine HCl ,Epinephrine,,,2.040,"Hospira Inc, USA."
1337,DRN-5563/01,Asacol Enema,4,g/100mL,Rectal Suspension,1's,Mesalazine,,,,4.780,"Tillotts Pharma AG, Switzerland."
1338,DRN-5564/01,Asacol,500,mg,Suppositories,20' ,Mesalazine,,,,6.570,"Tillotts Pharma Ag, Switzerland."
1339,DRN-5565/01,Dalacin,100,mg,Vaginal Ovules,3' ,Clindamycin Phosphate,,,,7.070,"Pharmacia & Upjohn Company, USA."
1340,DRN-5566/01,Panadol Sinus,500/30,mg,Caplets,24' ,Paracetamol,Pseudoephedrine HCl ,,,0.980,"GlaxoSmithKline Consumer Healthcare Australia Pty Ltd, Australia."
1341,DRN-5567/01,Panadol Cold And Flu,500/2/30,mg,Caplets,24' ,Paracetamol,Chlorpheniramine Maleate,Pseudoephedrine HCl,,1.160,"GlaxoSmithKline Consumer Healthcare Australia Pty Ltd, Australia."
1342,DRN-5569/01,Moxiclav,375,mg,Tablets,16' ,Amoxicillin,Clavulanic Acid,,,2.240,"Medochemie Ltd, Cyprus."
1343,DRN-5570/01,Moxiclav,625,mg,Tablets,16' ,Amoxicillin,Clavulanic Acid,,,4.240,"Medochemie Ltd, Cyprus."
1344,DRN-5573/01,Virpes,400,mg,Tablets,30' ,Acyclovir,,,,12.250,"The Arab Pharmaceutical Manufacturing Co. (APM), Jordan."
1345,DRN-5574/01,Precedex,100,mcg/1mL,Solution For Injection,2ml Vial,Dexmedetomidine HCl,,,,13.740,"Hospira Inc, USA."
1346,DRN-5575/01,Listerine Antiseptic,,,Mouth Wash Solution,250ml,Eucalyptol,Menthol,Methyl Salicylate,Thymol,1.250,"Johnson & Johnson Healthcare Products, USA."
1347,DRN-5576/01,Listerine Cool Mint,,,Mouth Wash Solution,250ml,Eucalyptol,Menthol,Methyl Salicylate,Thymol,1.250,"Johnson & Johnson Healthcare Products, USA."
1348,DRN-5582/01,Dobutamine,250,mg/20mL,Sol. Fol Injection Inj.,1 Vial,Dobutamine HCl,,,,3.660,"Hospira Healthcare Corporation, Canada."
1349,DRN-5584/01,Brufen,100,mg/5mL,Syrup,100ml,Ibuprofen,,,,1.110,"Abbott Laboratories Limited, UK."
1350,DRN-5585/01,Brufen,600,mg,Coated Tablets,30' ,Ibuprofen,,,,1.920,"Abbott Laboratories Limited, UK."
1351,DRN-5586/01,Brufen Retard,800,mg,Tablets,20' ,Ibuprofen,,,,3.030,"Abbott Laboratories Limited, UK."
1352,DRN-5589/01,Brufen,400,mg,Film Coated Tablets,250' ,Ibuprofen,,,,7.630,"Abbott Laboratories Limited, UK."
1353,DRN-5593/01,Fusiderm,2,%,Cream,15g,Fusidic Acid,,,,1.080,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1354,DRN-5594/01,Sapofen Junior,100,mg/5mL,Suspension,145ml,Ibuprofen,,,,0.900,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1355,DRN-5595/01,Chlorasept Moutwash,1,% v/v,Solution,250ml,Chlorhexidine Gluconate ,,,,0.850,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1356,DRN-5596/01,Fusiderm,2,%,Ointment,15g,Sodium Fusidate,,,,0.990,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1357,DRN-5597/01,Mafepain,500,mg,Film Coated Tablets,20's,Mefenamic Acid,,,,0.940,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1358,DRN-5599/01,Nexium,20,mg,Gastro-Resistant Tablets,14' ,Esomeprazole,,,,6.110,"AstraZeneca AB, Sweden."
1359,DRN-5601/01,Nexium,40,mg,Gastro-Resistant Tablets,14' ,Esomeprazole,,,,8.550,"AstraZeneca AB, Sweden."
1360,DRN-5603/01,RECORMON PFS,4000,IU/0.3ML,SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE,6,EPOETIN BETA,,,,147.280,"ROCHE PHARMA (SCHWEIZ) AG, SWITZERLAND."
1361,DRN-5604/01,RECORMON PFS,6000,IU/0.3ML,SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE,6,EPOETIN BETA,,,,220.910,"ROCHE PHARMA (SCHWEIZ) AG, SWITZERLAND."
1362,DRN-5608/01,Metalyse,10000,Unit,powder and solvent for Soultion,1 INJ.V.P.1 PRE,Tenecteplase,,,,523.510,"Boehringer Ingelheim International GmbH, Germany."
1363,DRN-5610/01,TRACTOCILE,7.5,MG/ML,CONCENTRATE FOR SOLUTION FOR INFUSION,1 X 5ML,ATOSIBAN,,,,46.400,"FERRING INTERNATIONAL CENTER SA (FICSA), SWITZERLAND."
1364,DRN-5611/01,TRACTOCILE,7.5,MG/ML,SOLUTION FOR INJECTION,1 X 0.9ML,ATOSIBAN,,,,12.530,"FERRING INTERNATIONAL CENTER SA (FICSA), SWITZERLAND."
1365,DRN-5612/01,Lorine,10,mg,Tablets,10' ,Loratadine,,,,1.360,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1366,DRN-5613/01,Lorine,10,mg,Tablets,20' ,Loratadine,,,,2.760,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1367,DRN-5614/01,Lorine,5,mg/5mL,Syrup,100ml,Loratadine,,,,1.740,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1368,DRN-5615/01,Peptazol,30,mg,Capsules,14' ,Lansoprazole,,,,6.350,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1369,DRN-5621/01,Triaxone,1,g,Injection,1 Vial,Ceftriaxone Sodium,,,,4.150,"Gulf Pharmaceutical Industries (Julphar), UAE."
1370,DRN-5622/01,Triaxone,1,g,Injection,1 Vial,Ceftriaxone Sodium,,,,4.150,"Gulf Pharmaceutical Industries (Julphar), UAE."
1371,DRN-5624/01,Famvir,125,mg,Film Coated Tablets,10' ,Famciclovir,,,,16.200,"Novartis Pharma AG, Switzerland."
1372,DRN-5625/01,Famvir,250,mg,Film Coated Tablets,21' ,Famciclovir,,,,57.430,"Novartis Pharma AG, Switzerland."
